store,city,country,address
1,Honolulu,United States,09 Florence Way
2,Tulsa,United States,97 Hollow Ridge Hill
3,Tacoma,United States,1741 Center Court
4,Madison,United States,3879 Valley Edge Way
5,Sacramento,United States,76 Ludington Way
6,Charlottesville,United States,51698 Northwestern Way
7,Salt Lake City,United States,4 Reinke Parkway
8,Peoria,United States,85 Scofield Junction
9,Zephyrhills,United States,48 Mcbride Street
10,Montgomery,United States,14 Continental Lane
11,Las Vegas,United States,8 Vidon Lane
12,Newark,United States,2 Bobwhite Pass
13,Fullerton,United States,9004 Little Fleur Road
14,Mobile,United States,36217 Daystar Drive
15,Nashville,United States,71974 Cambridge Circle
16,Fort Lauderdale,United States,3914 Walton Avenue
17,El Paso,United States,2 Ramsey Plaza
18,Phoenix,United States,3808 Meadow Valley Avenue
19,Clearwater,United States,33 Pankratz Road
20,Norwalk,United States,5 Quincy Park
21,Baltimore,United States,25017 American Avenue
22,Phoenix,United States,53297 Quincy Crossing
23,El Paso,United States,991 Towne Lane
24,Oklahoma City,United States,5 6th Parkway
25,Lexington,United States,1 West Drive
26,Manassas,United States,7642 Menomonie Plaza
27,Whittier,United States,12939 Leroy Circle
28,Louisville,United States,6112 Corscot Parkway
29,Columbia,United States,700 Schmedeman Lane
30,Pittsburgh,United States,40823 Brentwood Drive
31,Cheyenne,United States,967 Mcguire Hill
32,Arlington,United States,2 Westport Circle
33,San Antonio,United States,7806 Huxley Crossing
34,Springfield,United States,4009 Maywood Crossing
35,Phoenix,United States,14 Northland Drive
36,Hamilton,United States,4993 Memorial Place
37,Orlando,United States,24039 Fordem Court
38,Virginia Beach,United States,7666 Talisman Trail
39,Peoria,United States,35 Russell Point
40,Colorado Springs,United States,409 Muir Place
41,Columbus,United States,82 Lillian Trail
42,Atlanta,United States,23794 Farragut Alley
43,Bronx,United States,58 Hooker Plaza
44,Washington,United States,11782 Morrow Hill
45,Hyattsville,United States,18873 Bunker Hill Street
46,Hampton,United States,78 Pine View Pass
47,Garden Grove,United States,1995 Elgar Crossing
48,Sacramento,United States,527 Bashford Terrace
49,Beaverton,United States,97205 Darwin Terrace
50,Evansville,United States,5 Lindbergh Street
